id,member,release,version,image,owned
aespa-0001,Winter,Rich Man,Energy,aespa-0001.webp,true
aespa-0002,Ningning,Rich Man,Energy,aespa-0002.webp,true
aespa-0003,Giselle, Rich Man,Energy,aespa-0003.webp,FALSE
aespa-0004,Karina, Rich Man,Energy,aespa-0004.webp,FALSE
aespa-0005,Winter,Dirty Work,Case B,aespa-0005.webp,FALSE
aespa-0006,Ningning,Dirty Work,Case B,aespa-0006.webp,FALSE
aespa-0007,Giselle,Dirty Work,Case B,aespa-0007.webp,true
aespa-0008,Karina,Dirty Work,Case B,aespa-0008.webp,FALSE
aespa-0009,Winter,Rich Man,Burst,aespa-0009.webp,FALSE
aespa-0010,Ningning,Rich Man,Burst,aespa-0010.webp,FALSE
aespa-0011,Karina,Rich Man,Burst,aespa-0011.webp,true
aespa-0012,Giselle,Rich Man,Burst,aespa-0012.webp,FALSE
aespa-0013,Giselle,Kiss N Tell,A Version,aespa-0013.webp,FALSE
aespa-0014,Giselle,Kiss N Tell,A Version,aespa-0014.webp,FALSE
aespa-0015,Ningning,Kiss N Tell,A Version,aespa-0015.webp,FALSE
aespa-0016,Giselle,Kiss N Tell,A Version,aespa-0016.webp,FALSE
aespa-0017,Karina,Kiss N Tell,A Version,aespa-0017.webp,FALSE
aespa-0018,Giselle,Kiss N Tell,A Version,aespa-0018.webp,FALSE
aespa-0019,Karina,Kiss N Tell,A Version,aespa-0019.webp,FALSE
aespa-0020,Ningning,Kiss N Tell,A Version,aespa-0020.webp,FALSE
aespa-0021,Giselle,Kiss N Tell,B Version,aespa-0021.webp,FALSE
aespa-0022,Ningning,Kiss N Tell,A Version,aespa-0022.webp,FALSE
aespa-0023,Karina,Kiss N Tell,A Version,aespa-0023.webp,FALSE
aespa-0024,Winter,Kiss N Tell,A Version,aespa-0024.webp,FALSE
aespa-0025,Winter,Kiss N Tell,A Version,aespa-0025.webp,FALSE
aespa-0026,Karina,Kiss N Tell,A Version,aespa-0026.webp,FALSE
aespa-0027,Ningning,Kiss N Tell,A Version,aespa-0027.webp,FALSE
aespa-0028,Winter,Kiss N Tell,A Version,aespa-0028.webp,FALSE
aespa-0029,Winter,Kiss N Tell,A Version,aespa-0029.webp,FALSE
aespa-0030,Karina,Kiss N Tell,B Version,aespa-0030.webp,FALSE
aespa-0031,Giselle,Kiss N Tell,B Version,aespa-0031.webp,FALSE
aespa-0032,Winter,Kiss N Tell,B Version,aespa-0032.webp,FALSE
aespa-0033,Ningning,Kiss N Tell,B Version,aespa-0033.webp,FALSE
aespa-0034,Karina,Kiss N Tell,B Version,aespa-0034.webp,FALSE
aespa-0035,Karina,Kiss N Tell,B Version,aespa-0035.webp,FALSE
aespa-0036,Winter,Kiss N Tell,B Version,aespa-0036.webp,FALSE
aespa-0037,Winter,Kiss N Tell,B Version,aespa-0037.webp,FALSE
aespa-0038,Giselle,Kiss N Tell,B Version,aespa-0038.webp,FALSE
aespa-0039,Ningning,Kiss N Tell,B Version,aespa-0039.webp,FALSE
aespa-0040,Karina,Kiss N Tell,B Version,aespa-0040.webp,FALSE
aespa-0041,Giselle,Kiss N Tell,B Version,aespa-0041.webp,FALSE
aespa-0042,Winter,Kiss N Tell,B Version,aespa-0042.webp,FALSE
aespa-0043,Ningning,Kiss N Tell,B Version,aespa-0043.webp,FALSE
aespa-0044,Ningning,Kiss N Tell,B Version,aespa-0044.webp,FALSE
